Time [ms]
693
1159
999
1179
0
887
352
510
122
0
233
291
414
584
469
0
0
879
852
1544
1555
2454
651
0
2131
0
96
656
414
822
42
853
0
925
1112
1267
231
43
0
484
458
0
1279
486
128
0
2106
475
775
27
309
437
595
546
713
57
0
1109
174
673
502
1433
213
673
430
167
1494
463
575
102
443
979
590
246
601
2626
422
925
161
1438
1916
618
139
980
2792
871
2169
1584
379
0
1386
1253
20
1680
2175
80
2694
1623
1809
712
291
2996
1370
210
3124
779
906
931
424
0
83
2207
426
2188
1759
0
0
362
563
0
971
1706
0
126
997
516
0
640
2855
62
0
1068
55
923
3637
584
246
665
1380
60
746
411
416
685
77
0
1432
711
593
985
766
506
1238
79
0
0
636
541
1323
210
244
1226
180
991
298
422
1513
1227
454
1498
2725
1394
75
549
351
874
3562
