Time [ms]
532
130
1321
1409
678
0
0
0
1973
477
609
280
0
456
965
582
1418
836
331
508
551
3848
397
539
144
679
0
2872
1129
0
173
0
1710
777
1125
0
682
0
760
1126
494
718
60
784
0
372
654
20
383
2969
1313
2364
1727
3195
0
121
688
1396
1301
0
3492
182
0
4459
1307
0
848
3535
1976
3425
640
0
431
411
1160
87
203
746
1962
580
648
0
408
2401
404
258
1172
0
282
39
2720
450
272
453
1441
0
916
663
1096
783
0
0
866
0
503
1849
3831
1105
400
473
2082
3901
1898
661
1659
1404
1159
1064
501
592
4307
319
164
466
839
448
875
1915
3080
668
314
736
4432
586
1202
280
295
31
576
774
0
741
3040
33
3407
603
674
242
4525
355
1148
1607
