Time [ms]
170
938
0
187
2333
0
878
955
615
310
622
2765
572
2179
0
2907
687
2972
1193
918
0
343
1276
713
2245
2064
775
455
2244
440
98
545
1529
37
581
856
41
48
551
251
749
821
2354
159
3737
1566
1455
1301
160
0
0
2150
2549
1969
339
4201
0
2150
867
1426
666
808
1765
0
0
553
359
2037
343
1131
1601
578
1451
2181
482
430
987
1351
926
215
719
1275
726
461
0
1457
573
944
0
0
447
413
547
1060
1047
985
2052
59
2988
0
0
2011
1326
2493
204
554
300
1671
0
99
24
0
463
285
1653
653
2960
353
1293
2999
595
3020
698
1381
1536
239
3282
0
0
980
385
778
611
105
52
2526
552
1886
498
6
2651
155
0
441
2056
843
508
863
0
603
104
2224
361
2410
176
1342
924
