Time [ms]
122
492
106
337
351
1092
540
220
678
427
1539
0
507
560
0
0
334
151
1058
396
0
1250
610
595
734
216
125
1118
866
0
57
72
168
102
1410
699
532
307
235
0
447
0
868
541
0
669
370
106
519
153
0
189
861
0
294
372
0
201
308
805
0
0
845
811
0
1024
438
75
5
220
634
60
864
0
818
808
823
0
150
695
1847
0
2142
1462
873
0
0
512
1258
148
0
394
669
381
0
889
228
630
0
875
1250
126
392
441
0
372
1374
333
0
0
356
585
0
83
0
551
0
660
301
339
0
1181
293
1191
0
290
372
961
782
0
0
295
515
465
1043
56
32
403
825
0
1572
227
0
156
1174
949
0
621
488
287
557
0
0
787
565
0
430
0
0
65
748
417
1071
840
836
432
478
944
0
96
356
395
0
275
190
590
0
275
756
454
152
747
416
605
284
915
408
597
760
937
12
232
152
0
1264
642
68
508
686
596
777
370
701
132
264
0
0
234
0
0
1120
0
1112
879
254
553
181
784
0
