Time [ms]
394
415
38
317
631
3019
1629
1189
1306
136
617
3616
0
2246
311
1014
0
904
280
1927
453
495
1493
669
113
2246
940
1063
1192
543
3367
0
223
1906
1443
429
160
0
0
586
510
903
1465
1032
551
0
847
655
3288
1174
2055
375
612
2274
1083
3331
387
1714
597
268
1380
2591
1544
1216
1156
828
679
0
1052
474
22
259
212
666
151
1878
699
1663
151
404
691
1397
1099
78
946
0
804
650
1329
79
289
516
115
1549
968
2131
1208
498
82
1207
0
734
473
1074
2129
2163
906
0
239
342
622
31
867
171
2787
1036
1524
484
680
288
318
1335
16
345
94
1128
2411
3483
0
3464
1431
888
0
769
1162
171
0
2659
685
1608
2648
1558
747
1042
0
25
1082
992
1874
0
1678
188
600
