Time [ms]
0
0
2343
206
302
1000
3433
759
44
1444
1228
67
477
0
791
156
1262
0
150
829
75
150
2254
232
0
873
0
1078
1734
2186
675
1549
2094
408
50
2485
1085
887
17
0
452
688
1097
860
760
1408
1585
800
942
1586
1512
2266
2231
0
827
1375
1391
1081
816
0
939
1872
740
48
857
137
805
523
1565
1016
1188
79
128
589
170
665
398
913
1197
122
977
265
15
1213
666
391
3157
2168
4648
347
1792
1864
2536
2165
1987
570
0
0
892
2753
837
1045
780
1670
546
1487
0
2224
711
1444
1121
232
0
0
647
472
86
1996
94
623
805
331
513
1680
490
1048
1163
225
0
130
939
1724
1437
465
625
5237
464
859
6283
976
1536
5985
597
36
1401
1441
3678
1583
0
